ABCFLOAT|FLOAT,FLOAT,FLOAT
PANOSE|BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE
PELARRAY|LONG,LONG,LONG,LONG,BYTE
PIXELFORMATDESCRIPTOR|WORD,WORD,DWORD,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,DWORD,DWORD,DWORD
POINTFLOAT|FLOAT,FLOAT
POINTFX|FIXED,FIXED
POLYTEXTA|int,int,UINT,LPCSTR,UINT,RECT,int *
POLYTEXTW|int,int,UINT,LPCWSTR,UINT,RECT,int *
PSFEATURE_CUSTPAPER|LONG,LONG,LONG,LONG,LONG
PSFEATURE_OUTPUT|BOOL,BOOL
PSINJECTDATA|DWORD,WORD,WORD
RASTERIZER_STATUS|short,short,short
RGBQUAD|BYTE,BYTE,BYTE,BYTE
RGBTRIPLE|BYTE,BYTE,BYTE
RGNDATAHEADER|DWORD,DWORD,DWORD,DWORD,RECT
RGNDATA|RGNDATAHEADER,char
TEXTMETRICA|LONG,LONG,LONG,LONG,LONG,LONG,LONG,LONG,LONG,LONG,LONG,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE,BYTE
TEXTMETRICW|LONG,LONG,LONG,LONG,LONG,LONG,LONG,LONG,LONG,LONG,LONG,WCHAR,WCHAR,WCHAR,WCHAR,BYTE,BYTE,BYTE,BYTE,BYTE
TRIVERTEX|LONG,LONG,COLOR16,COLOR16,COLOR16,COLOR16
TTPOLYCURVE|WORD,WORD,POINTFX
TTPOLYGONHEADER|DWORD,DWORD,POINTFX
WCRANGE|WCHAR,USHORT
WGLSWAP|HDC,UINT
XFORM|FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
